Date,Open,High,Low,Close,Volume,Adj Close
2015-07-20,75.040001,75.25,73.699997,74.139999,1355700,72.866281
2015-07-17,74.989998,75.349998,74.32,74.769997,1111500,73.485455
2015-07-16,73.989998,75.470001,73.879997,74.690002,1555800,73.406835
2015-07-15,73.489998,74.540001,72.129997,73.720001,1741500,72.453499
2015-07-14,71.959999,73.699997,71.459999,73.620003,1782500,72.355218
2015-07-13,71.510002,72.650002,71.510002,72.25,1438200,71.008752
2015-07-10,68.010002,70.690002,67.800003,70.550003,2292100,69.337961
2015-07-09,67.07,67.220001,66.440002,66.540001,922700,65.39685
2015-07-08,67.040001,67.089996,65.50,66.120003,1324600,64.984067
2015-07-07,66.25,67.629997,65.699997,67.440002,1464900,66.28139
2015-07-06,64.610001,66.389999,64.540001,66.160004,1331400,65.023381
2015-07-02,64.660004,65.309998,63.82,65.010002,1109000,63.893136
2015-07-01,65.550003,65.639999,62.59,64.300003,1956600,63.195335
2015-06-30,64.550003,65.480003,64.199997,64.43,1332400,63.323099
2015-06-29,64.290001,65.599998,63.799999,63.860001,1066600,62.762892
2015-06-26,65.800003,65.900002,64.50,64.75,1872000,63.637601
2015-06-25,66.669998,67.150002,65.419998,65.43,1273500,64.305919
2015-06-24,66.580002,67.239998,66.019997,66.199997,1153500,65.062687
2015-06-23,67.07,67.480003,66.43,66.519997,1560400,65.377189
2015-06-22,65.620003,66.260002,65.120003,66.220001,1732000,65.082348
2015-06-19,64.309998,65.419998,63.91,64.650002,4167400,63.539321
2015-06-18,62.610001,64.370003,62.610001,63.990002,1461200,62.890659
2015-06-17,62.150002,62.669998,61.650002,62.029999,1232900,60.964329
2015-06-16,62.68,63.34,61.889999,62.279999,780400,61.210034
2015-06-15,62.860001,63.240002,62.080002,62.66,1128900,61.583507
2015-06-12,61.709999,63.77,61.610001,63.50,1568300,62.409076
2015-06-11,60.889999,62.119999,60.759998,61.82,1426700,60.757938
2015-06-10,60.150002,61.689999,59.860001,60.759998,1568900,59.716147
2015-06-09,61.880001,61.880001,58.150002,60.650002,3734600,59.60804
2015-06-08,65.019997,65.690002,62.310001,62.529999,1519800,61.455739
2015-06-05,65.480003,65.970001,64.860001,65.660004,946100,64.531971
2015-06-04,65.809998,66.660004,65.029999,65.510002,966300,64.384546
2015-06-03,65.949997,66.339996,65.360001,65.860001,794700,64.728532
2015-06-02,65.099998,66.309998,64.790001,65.720001,941200,64.590938
2015-06-01,65.010002,66.300003,64.50,66.089996,1808500,64.954576
